id,text,label,category,source
aug_수사기관 사칭형_0001,"여보세요. 서울중앙지방검찰청입니다. 사건 담당 검사실에서 전화드렸고요. 지금 본인 명의로 된 농협 계좌가 대포통장으로 확인돼서 연락드렸습니다. 혹시 메모 가능하십니까? 지금 이 통화는 녹취됩니다. 네? 아니요, 저는 처음 듣는데요. 이름이 이도현으로 확인되셨고, 검찰청 수사기록상 본인 계좌가 범죄자금 세탁에 사용된 정황이 잡혔습니다. 현재 압수수색에서 농협과 국민은행 통장이 같이 나왔고, 본인 명의로 개설된 계좌라서 바로 동결 절차 들어가야 합니다. 동결이요? 네, 계좌 압수 조치가 진행되면 출금이 막히고, 수사 협조 없으면 공범으로 전환될 수 있습니다. 저 정말 모르는 일입니다. 당연히 그렇다고 하시겠죠. 그래서 확인하는 겁니다. 본인 앞으로 개설된 다른 계좌 있습니까? 하나은행, 기업은행, 국민은행 중에 사용하시는 계좌 전부 말씀하셔야 합니다. 아니 왜 다 말해야 되죠? 지금 타인하고 통화하시면 안 됩니다. 가족분이든 지인이든 누구한테도 말씀하시면 안 되고, 지금부터는 본인 혼자만 아셔야 합니다. 왜요? 수사 보안상 그렇습니다. 외부로 알려지면 증거 인멸 우려가 있어서 바로 체포영장 검토됩니다. 제가 명의도용 피해자인지 확인하려고요. 그럼 본인 계좌번호 마지막 네 자리부터 말씀해 주세요. 농협 계좌 끝 네 자리랑 하나은행 있으면 그 끝 네 자리까지요. 잠깐만요, 그런 건 왜요? 불법 자금이 들어간 계좌인지 대조해야 합니다. 그리고 지금 즉시 잔액 확인 후, 검찰 보안계좌로 전액 이체하셔야 합니다. 이체하면 안전한가요? 네, 사건 종결 전 임시보호 조치입니다. 오늘 안 하시면 계좌는 전부 묶이고, 출석요구서 발부됩니다. 알겠습니다. 그럼 제 계좌번호를 말하면 되는 거죠? 네, 급하게 진행하셔야 합니다.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0002,"네, 경찰청 지능범죄수사팀입니다. 김준호 수사관이고요. 본인 맞으시죠? 지금 긴급 통보 드리는데, 본인 명의로 된 기업은행 계좌가 대포통장으로 적발됐습니다. 뭐라고요? 기업은행이요? 네, 서울지방검찰청으로부터 공조 요청 받아서 확인 중이고, 검거 현장에서 본인 주민등록번호로 개설된 통장이 나왔습니다. 본인이 직접 만든 적 없습니까? 없어요. 그러면 명의도용 피해 가능성이 있습니다. 하지만 현재 상황이 급해서, 제3자와 연락을 끊으셔야 합니다. 가족이든 친구든 지금 아무한테도 말하지 마세요. 왜요? 지금 통화가 새 나가면 범인들이 계좌를 추가로 빼돌립니다. 이미 본인 계좌는 동결 명령 대기 상태입니다. 동결이 되면 어떻게 되나요? 출금, 이체, 카드 사용 전부 막힙니다. 그리고 공범 여부까지 같이 보게 됩니다. 저는 정말 몰라요. 그러면 제가 묻는 것만 답하세요. 농협, 하나은행, 국민은행 중에 본인 명의로 쓰는 계좌가 몇 개입니까? 왜 그걸 알아야 하죠? 피해자 확인 절차입니다. 본인 확인이 안 되면 계좌 압수로 넘어갑니다. 지금 메모하세요. 사건 번호 알려드리겠습니다. 잠깐만요. 검찰청에서 이미 본인 계좌를 주시하고 있고, 오늘 중으로 입출금 내역 안 맞으면 압수수색 영장 신청됩니다. 저 지금 회사인데요. 회사에도 말하지 마세요. 아시겠죠? 네, 아니 근데 제가 뭘 해야 돼요? 가장 먼저 계좌 마지막 번호 확인하시고, 안내하는 보안 절차대로 송금 확인을 해주셔야 합니다. 송금이요? 네, 범죄자금 구분 작업입니다. 늦으면 체포 절차로 바뀝니다.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0003,"여보세요. 금융감독원 검사팀입니다. 본인 명의로 된 하나은행 계좌가 범죄 연루 계좌로 확인돼서 즉시 연락드렸습니다. 지금 이 내용은 외부에 절대 말하시면 안 됩니다. 왜요? 지금은 비공개 조사 단계라서, 가족이나 지인에게 말하면 수사 방해가 됩니다. 저는 그런 일 없는데요. 본인께서 모르는 사이에 명의가 도용됐을 수도 있고, 아니면 통장 유통에 연루됐을 수도 있습니다. 저희가 검토한 자료에 따르면, 서울중앙지방검찰청에서 압수한 현금 다발과 함께 본인 명의의 농협 계좌가 발견됐습니다. 농협이요? 네. 그리고 하나은행 계좌까지 같이 확인됐습니다. 본인 계좌 맞습니까? 아니요, 그런 적 없어요. 그러면 더 문제입니다. 본인 개인정보가 빠져나간 정황이 있으니 지금부터 계좌 정지와 보호조치 들어가야 합니다. 정지요? 네, 출금 정지 안 하면 범죄자금이 추가로 빠져나가고 피해 금액이 본인에게 전가됩니다. 그러면 제가 뭘 하면 되는데요? 지금 당장 본인 명의 계좌 전부 확인하시고, 마지막 잔액과 최근 이체 내역을 불러주세요. 왜 그렇게까지요? 피해자 입증 자료입니다. 그리고 다른 전화 끊으시면 안 됩니다. 지금 수사기록에 반영해야 해서 통화 유지하셔야 합니다. 아, 네. 본인 명의 계좌가 맞는지 확인되면 바로 금융감독원 보호계좌로 옮겨야 합니다. 그거 안 하면 어떻게 되는데요? 압수 조치 이후에는 해제가 어렵고, 조사 협조 안 되면 검찰 송치됩니다.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0004,"서울지방검찰청입니다. 지금 본인 앞으로 체포 관련 서류가 올라가기 직전이라서 바로 연락드렸습니다. 본인 명의의 국민은행 계좌가 대포통장으로 사용된 사실이 확인됐고, 이미 검거된 조직원 진술도 나왔습니다. 저 처음 듣는 얘기인데요. 당연히 놀라시겠죠. 그렇지만 사실관계는 명확합니다. 해당 계좌가 범죄자금 입금용으로 쓰였고, 지금 잔액도 추적 중입니다. 본인 계좌가 맞다면 동결 안 하면 돈이 빠져나갑니다. 본인이 개설한 적 없는 계좌도 있습니까? 모르겠어요. 그러시면 농협, 기업은행, 하나은행까지 전부 말씀해 주세요. 왜 자꾸 제 계좌를 묻는 거죠? 개인정보가 이미 유출됐는지, 명의도용인지 확인해야 하기 때문입니다. 그리고 여기서 제일 중요한 건 비밀 유지입니다. 누구한테도 말하지 마세요. 가족 포함입니다. 네? 왜요? 지금 말이 새면 범인이 계좌를 정리합니다. 그러면 본인도 공범으로 보입니다. 무슨 공범이요? 공범까지는 아니더라도, 자금세탁 계좌 명의인으로 처리될 수 있습니다. 그러면 제가 지금 뭘 해야 합니까? 지금 바로 계좌번호 뒤 네 자리 말씀하시고, 안내하는 검찰 보호 절차에 따라 이체 확인을 해주셔야 합니다. 이체요? 네, 본인 자금이 아닌지 구분하는 절차입니다. 안 하시면 계좌 압수, 출국 제한, 조사 출석 통보가 동시에 진행됩니다.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0005,"네, 경찰청입니다. 수사과에서 연락드렸고요. 본인 명의의 기업은행 통장이 범죄 현장에서 나왔습니다. 본인 이름과 주민등록번호로 개설된 계좌라서 확인차 연락드리는 겁니다. 아니 제가 그런 적 없는데요. 그러시면 명의도용 가능성이 매우 높습니다. 그런데 지금 상황이 급해서, 우선 비밀 유지부터 하셔야 됩니다. 누구한테도 말하지 마세요. 왜요? 가족한테도요? 네, 가족, 직장, 지인 전부 안 됩니다. 지금 제3자와 접촉하면 수사에 방해되고 계좌 동결이 늦어집니다. 동결이요? 네, 이미 검찰 쪽에서 압수 검토 중입니다. 본인 명의 농협 계좌도 같이 확인됐고, 두 계좌 모두 범죄자금 이동 경로에 올라와 있습니다. 저는 농협도 없어요. 그러면 더 빨리 보호조치 받아야죠. 본인 계좌번호를 먼저 확인하고, 잔액 전부를 안전계좌로 옮겨야 합니다. 안전계좌요? 네, 사건 종결 전 임시보관 계좌입니다. 지금 안 옮기면 돈이 묶이고, 나중에 본인도 조사 대상이 됩니다. 근데 왜 제가 돈을 옮겨요? 피해금 분리 작업입니다. 본인 확인용으로 끝자리 네 자리만 불러주세요. 그리고 절대 끊지 마시고, 지금 안내에 따라 바로 진행하십시오. 네? 시간이 없습니다. 지금 바로 하셔야 합니다.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0006,"여보세요. 서울중앙지방검찰청입니다. 지금 통화 가능하십니까? 저는 금융범죄수사부 검사실에서 나온 박준호 수사관인데요. 잠깐만요, 이 통화는 녹취됩니다. 본인 명의 계좌가 대포통장으로 확인돼서 바로 연락드렸습니다. 무슨 말씀이세요? 저 지금 처음 듣는데요. 네, 지금 검거된 사건 현장에서 선생님 명의로 된 하나은행 통장하고 국민은행 통장이 발견됐습니다. 해당 계좌들에 불법 자금이 입금된 정황이 확인돼서 계좌 동결 절차 들어갔고요. 본인께서 직접 개설하신 계좌 맞으십니까? 아니요, 저는 그런 거 만든 적 없어요. 그럼 명의도용 피해 가능성이 크네요. 그런데 지금 중요한 건, 이 사건이 외부에 새면 안 됩니다. 가족이나 지인한테 말씀하시면 안 되고요. 지금부터 제3자 연락은 전부 차단해 주세요. 아, 네. 그런데 제가 뭘 해야 되는데요? 우선 본인 명의로 된 농협, 하나은행, 국민은행 계좌 전부 사용 내역을 확인해야 합니다. 혹시 현재 사용하시는 계좌 중에 출금 가능한 계좌 있으면 말씀해 주세요. 아, 국민은행 하나 쓰긴 하는데요. 그 계좌도 지금 압수 대상에 올라가 있어서, 그대로 두시면 추가로 전부 정지됩니다. 선생님 이름이 범죄조직 쪽에 넘어간 상태라서요. 지금 협조 안 하시면 공범으로 오해받을 수 있습니다. 아니 제가 왜 공범이에요? 그래서 지금 확인하는 겁니다. 본인이 피해자면 빨리 입증하셔야 해요. 지금 계좌번호 끝 네 자리만 불러주시면 조회해서 동결 여부 확인하고, 필요하면 안전계좌로 이체 절차 안내드리겠습니다. 안전계좌요? 네, 수사 보호용입니다. 이체가 늦어지면 자금이 묶여서 출금도 못 하게 됩니다. 지금 바로 말씀해 주세요.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0007,"여보세요. 경찰청 지능범죄수사팀입니다. 본인 김민수 씨 맞으시죠? 저는 서울중앙지방검찰청과 공조 중인 수사관 이정현입니다. 지금 선생님 명의로 대포통장이 발견돼서 급히 연락드렸습니다. 대포통장이요? 저는 그런 거 한 적이 없는데요. 네, 맞습니다. 그래서 명의도용 사건으로 분류됐습니다. 그런데 검거된 일당이 선생님 계좌를 범죄 자금 세탁용으로 썼고, 검찰에서 이미 압수명령이 내려간 상태입니다. 하나은행 계좌와 기업은행 계좌 두 개가 확인됐고, 현재 곧바로 동결됩니다. 아, 그럼 제 계좌가 막히는 건가요? 잠깐만요, 막히는 게 아니라 잠정 압류입니다. 본인이 피해자라는 걸 입증하시면 풀 수 있습니다. 대신 지금 이 내용은 밖에 말하시면 안 됩니다. 주변에 가족이나 직장에 연락하지 마시고, 다른 은행에도 문의하지 마세요. 왜요? 지금 수사 정보가 새면 계좌 추적이 끊깁니다. 그리고 선생님 본인 계좌 중에 혹시 농협이나 국민은행도 사용하시죠? 네, 농협 하나 있어요. 그 계좌도 같이 확인해야 합니다. 지금 개인정보 유출로 타인이 선생님 신분증을 가지고 계좌를 추가 개설했을 수도 있습니다. 선생님이 모르시는 사이에 범죄에 연루된 거예요. 제가 지금 확인해드릴 테니까 계좌번호 앞자리랑 끝자리만 말씀해 주세요. 아니 그걸 왜 드려요? 본인 보호를 위해서입니다. 지금 못 받으면 내일 바로 출석요구서 나갈 수 있고, 은행 쪽에서는 자동으로 거래정지 들어갑니다. 빨리 말씀해 주세요.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0008,"여보세요. 금융감독원 조사협력팀입니다. 본인께 긴급 통보드릴 사항이 있습니다. 지금 본인 명의의 국민은행 통장이 불법 자금 통로로 확인됐습니다. 무슨 소리예요? 저는 그런 통장 없어요. 확인됐습니다. 검찰청에서 넘겨받은 자료에 선생님 신분증 사본과 함께 계좌 개설 기록이 들어있습니다. 본인 명의도용으로 보이는데, 문제는 이미 그 계좌로 범죄 수익이 들어오고 나갔다는 점입니다. 그래서 계좌 동결 경고가 내려갔고, 추가로 타 은행 계좌까지 전부 조회 중입니다. 잠깐만요, 그럼 제가 피해자인 거죠? 네, 피해자 가능성이 높습니다. 그런데 여기서 가장 중요한 건 비밀 유지입니다. 지금 누구한테도 말하지 마시고, 가족, 친구, 회사, 심지어 배우자한테도 말하시면 안 됩니다. 외부에서 인지하면 자금 이동이 더 복잡해집니다. 아, 네. 그럼 뭘 하죠? 우선 선생님 명의로 된 모든 은행 계좌를 확인해야 합니다. 농협, 하나은행, 국민은행, 기업은행 중에 쓰시는 거 전부 말씀해 주세요. 아, 저는 하나은행이랑 국민은행만 써요. 그 두 계좌 잔액도 지금 보호조치 들어가야 합니다. 필요하면 검찰청으로 사건 이관해서 바로 해제 절차 도와드릴게요. 그런데 이체 가능한 금액이 있으면 지금 안 옮기면 같이 묶입니다. 안전 확인을 위해서 계좌번호 불러주시겠습니까?",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0009,"여보세요. 지방검찰청입니다. 저는 형사부 담당 검사실의 최현우 검사입니다. 지금 본인 명의가 대포통장으로 발견돼서 즉시 연락드렸습니다. 저 검사입니다. 지금 이 건은 매우 중대한 사건이라 비밀 유지가 필수입니다. 네? 제 명의가 왜 대포통장이에요? 검거 현장에서 선생님 이름이 적힌 하나은행 통장과 농협 통장이 압수됐습니다. 그 통장들에 불법 도박 자금과 보이스피싱 자금이 섞여 있었고요. 본인이 직접 개설한 적 없으시면 명의도용입니다. 그런데 이미 계좌가 범죄에 사용돼서 동결 조치가 예정되어 있습니다. 아, 저는 진짜 모릅니다. 알겠습니다. 그럼 피해자 진술로 진행하겠습니다. 하지만 지금부터는 제 지시만 따르셔야 합니다. 다른 사람과 통화하지 마시고, 은행에 혼자 전화도 하지 마세요. 왜냐하면 상대방이 역추적을 걸 수 있습니다. 그럼 제가 뭘 해야 합니까? 본인 명의로 된 계좌가 몇 개인지 먼저 확인해야 합니다. 농협, 하나은행, 국민은행, 기업은행 중에 쓰는 계좌를 전부 말씀해 주시고, 계좌번호 끝 네 자리도 준비해 주세요. 혹시 모르는 계좌가 있으면 그게 이미 범죄에 쓰인 겁니다. 빨리 확인해야 오늘 안에 압수 절차를 막을 수 있습니다. 지금 지체되면 계좌 전부 정지되고, 본인도 참고인에서 피의자로 전환될 수 있습니다. 바로 말씀하세요.",1,수사기관 사칭형,augmented_llm
aug_수사기관 사칭형_0010,"여보세요. 서울중앙지방검찰청 수사관입니다. 지금 선생님 이름으로 된 계좌가 범죄조직에 넘어간 게 확인돼서 연락드렸습니다. 지금 당장 통화 내용 메모하셔야 합니다. 선생님 명의의 하나은행 계좌가 대포통장으로 사용됐고, 추가로 국민은행 계좌도 함께 추적 중입니다. 저는 그런 거 안 썼는데요. 네, 그래서 명의도용 사건입니다. 다만 이건 아주 급합니다. 현재 압수수색 결과 선생님 신분증 사본, 통장 사본, 비밀번호 메모까지 함께 나왔습니다. 누군가 선생님 정보를 이용한 겁니다. 그럼 어떡하죠? 우선 주변 사람들에게 말하지 마세요. 경찰, 은행, 가족에게 따로 문의하시면 수사에 방해됩니다. 지금은 제 지시만 따라주셔야 합니다. 본인 계좌가 더 있는지 확인해야 하고, 남아 있는 잔액도 일단 안전 보관해야 합니다. 안전 보관이요? 네, 출금이 되기 전에 수사 보호계좌로 옮겨야 합니다. 그렇지 않으면 범죄 수익으로 오인돼서 전부 묶입니다. 지금 본인 명의 농협, 하나은행, 국민은행 중 사용 중인 계좌 전부 말씀해 주세요. 그리고 계좌번호 끝 네 자리를 불러주시면 바로 조회해서 동결 여부 확인해 드리겠습니다. 시간이 없습니다. 지금 바로 답하세요.",1,수사기관 사칭형,augmented_llm
