id,sentence_idx,sentence,risk,label,category,source
phishing_대출 사기형_1,0,1단탈 알겠고요,1,1,대출 사기형,original
phishing_대출 사기형_1,1,"저희들이 KB 금융괴르사, KB저축은행인데요 지금 5월에 저희를 입혀 한 대출 플라스 싱올유지사금적으로 나온 대출 상품이 있어요",1,1,대출 사기형,original
phishing_대출 사기형_1,2,그리고 연휴율이 7.8%대로 진행하는 부분이고 상황기간이 온앤까지고요,1,1,대출 사기형,original
phishing_대출 사기형_1,3,중도상화 가능하고 수수력을 사용해 없이 올리금균동분할성원 혹은 망길시 성원 쪽으로 이자만 값부제도 되는 부분이예요,1,1,대출 사기형,original
phishing_대출 사기형_1,4,그리고 최대 맵심 대완대 줄 불러서 생활리치 자금 쪽으로 5천만원까지인데 5체만 원은 그럼 다 받으실 거예요,1,1,대출 사기형,original
phishing_대출 사기형_1,5,일단 잘 알겠고요 증.. 맞으시죠?,1,1,대출 사기형,original
phishing_대출 사기형_1,6,고객님 혹시 지금 사용하고 있는 휴대폰은 본인 이름으로 되어 있는 거 같아요,1,1,대출 사기형,original
phishing_대출 사기형_1,7,통신사는 SKT LZ예요 삼성 스마트폰 맞으세요?,1,1,대출 사기형,original
phishing_대출 사기형_1,8,혹시 카톡을 사용하고 계셔요,1,1,대출 사기형,original
phishing_대출 사기형_1,9,네 그러면 카톡 추가를 해서 저희들 회사 상호하고 제 이름 넣어드릴게요,1,1,대출 사기형,original
phishing_대출 사기형_1,10,왜요?,1,1,대출 사기형,original
phishing_대출 사기형_1,11,예? 왜요 고객님 저한테 전화를 주셔서 통화 중에 제가 전화를 못 받으면은 카톕으로 연락을 할 수가 있어서 그런 거 아니에요,2,1,대출 사기형,original
phishing_대출 사기형_1,12,아니 다 말하시고요,1,1,대출 사기형,original
phishing_대출 사기형_1,13,네? 다 말해주시면 돼요,1,1,대출 사기형,original
phishing_대출 사기형_2,0,"네, 고객님.",1,1,대출 사기형,original
phishing_대출 사기형_2,1,네.,1,1,대출 사기형,original
phishing_대출 사기형_2,2,그런데 제가 지금 입으니까 없으시던데요?,1,1,대출 사기형,original
phishing_대출 사기형_2,3,어느 부분에 연락을 주신 건가요?,1,1,대출 사기형,original
phishing_대출 사기형_2,4,잠실이 우리의 그...,1,1,대출 사기형,original
phishing_대출 사기형_2,5,잠시.. 네.,1,1,대출 사기형,original
phishing_대출 사기형_2,6,이 시점이 여러 군데 있어요.,1,1,대출 사기형,original
phishing_대출 사기형_2,7,"네, 우리.. 잠시 후에 연낳고 계십니다.",1,1,대출 사기형,original
phishing_대출 사기형_2,8,맞습니다.,1,1,대출 사기형,original
phishing_대출 사기형_2,9,그때 영어 필팅으로 연락주신 거 말게요.,1,1,대출 사기형,original
phishing_대출 사기형_2,10,영어밀핑은 아니고 백협원으로.,1,1,대출 사기형,original
phishing_대출 사기형_2,11,한 감쇄지담이 이제 어.. 주점이 크다 보니까 기본적으로 이제 일주일 중 1반부터에서는 저희 대출팀 직원을 모를 수도 있어요.,1,1,대출 사기형,original
phishing_대출 사기형_2,12,네.,1,1,대출 사기형,original
phishing_대출 사기형_2,13,"대출 영업, 대출1팀으로 연락을 하셔서 일단 보시면은 확인이 다 되시는 부분이시고요.",1,1,대출 사기형,original
phishing_대출 사기형_2,14,대추리침무요?,1,1,대출 사기형,original
phishing_대출 사기형_2,15,영업대출의 친명 예,1,1,대출 사기형,original
phishing_대출 사기형_2,16,그리고 고기님 삼성카드 같은 경우에는 고개님께서 삼성 카드로 연락주시고 완갑 처리 해주고 계시잖아요.,1,1,대출 사기형,original
phishing_대출 사기형_2,17,저희들한테 뭐 해드릴게 없고 그런데 선승 카드에서 확인이 안 되니까요.,2,1,대출 사기형,original
phishing_대출 사기형_2,18,그게 제가...,1,1,대출 사기형,original
phishing_대출 사기형_2,19,"아, 제가 그 얘기 말씀 안 드렸어요 고객님?",1,1,대출 사기형,original
phishing_대출 사기형_2,20,법무용 납보를 증명서 같은 경우는 공문사가 이미 확인이 되셨기 때문에 다른 상담원이 확인이 안될 수가 있어요.,2,1,대출 사기형,original
phishing_대출 사기형_2,21,앞전했으니까 분명히 말씀드렸을 수 있겠지.,1,1,대출 사기형,original
phishing_대출 사기형_2,22,이게 납보 처리가 바로 들어가는 게 아니고 상하 처리가 고객이께서 저의 대출을 못 받아 보시거나 아니면 고객님이 이제 중도에 다른 개출 진행권으로 해서 부결에 나칠 경우에 공익에서 다시 환경을 받아보실 수 있도록 중간에 법무팀에서 보관하고 예치하고 있는 상황이라서요.,2,1,대출 사기형,original
phishing_대출 사기형_2,23,그러면 제가 분석하세요 확인은 어떻게 하죠?,1,1,대출 사기형,original
phishing_대출 사기형_3,0,1단탈 알겠고요,1,1,대출 사기형,original
phishing_대출 사기형_3,1,"저희들이 KB 금융괴르사, KB저축은행인데요",1,1,대출 사기형,original
phishing_대출 사기형_3,2,지금 5월에 저희를 입혀 한 대출 플라스 싱올유지사금적으로 나온 대출 상품이 있어요,2,1,대출 사기형,original
phishing_대출 사기형_3,3,그리고 연휴율이 7.8%대로 진행하는 부분이고,2,1,대출 사기형,original
phishing_대출 사기형_3,4,상황기간이 온앤까지고요,1,1,대출 사기형,original
phishing_대출 사기형_3,5,중도상화 가능하고 수수력을 사용해 없이 올리금균동분할성원 혹은 망길시 성원 쪽으로 이자만 값부제도 되는 부분이예요,2,1,대출 사기형,original
phishing_대출 사기형_3,6,그리고 최대 맵심 대완대 줄 불러서 생활리치 자금 쪽으로 5천만원까지인데,2,1,대출 사기형,original
phishing_대출 사기형_3,7,5체만 원은 그럼 다 받으실 거예요,1,1,대출 사기형,original
phishing_대출 사기형_3,8,일단 잘 알겠고요 증.. 맞으시죠?,1,1,대출 사기형,original
phishing_대출 사기형_3,9,고객님 혹시 지금 사용하고 있는 휴대폰은 본인 이름으로 되어 있는 거 같아요,2,1,대출 사기형,original
phishing_대출 사기형_3,10,통신사는 SKT LZ예요 삼성 스마트폰 맞으세요?,1,1,대출 사기형,original
phishing_대출 사기형_3,11,혹시 카톡을 사용하고 계셔요,1,1,대출 사기형,original
phishing_대출 사기형_3,12,네 그러면 카톡 추가를 해서 저희들 회사 상호하고 제 이름 넣어드릴게요,2,1,대출 사기형,original
phishing_대출 사기형_3,13,왜요?,1,1,대출 사기형,original
phishing_대출 사기형_3,14,예? 왜요 고객님 저한테 전화를 주셔서 통화 중에 제가 전화를 못 받으면은 카톕으로 연락을 할 수가 있어서 그런 거 아니에요,2,1,대출 사기형,original
phishing_대출 사기형_3,15,아니 다 말하시고요,1,1,대출 사기형,original
phishing_대출 사기형_3,16,네? 다 말해주시면 돼요,1,1,대출 사기형,original
