id,segment_risks,label,category,source
phishing_대출 사기형_1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_5,"[2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",1,대출 사기형,original
phishing_대출 사기형_6,"[1, 2, 2, 2, 3, 3, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_7,"[1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 1, 2, 2, 2, 1, 3, 3, 2, 2, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_8,"[1, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3]",1,대출 사기형,original
phishing_대출 사기형_9,"[2, 2, 2, 2, 2, 1, 1, 3, 3, 3, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_10,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_11,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_12,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_13,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_14,"[1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_15,"[2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 2, 2, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_16,"[1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_17,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_19,"[2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 3, 1]",1,대출 사기형,original
phishing_대출 사기형_20,"[2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2]",1,대출 사기형,original
normal_상품 가입 및 해지_[수정]20210202 102125,"[1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102230,"[1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102337,"[1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102451,"[1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102605,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102718,"[1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102834,"[1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 102950,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 103224,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 103342,"[1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 103506,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 103714,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 103837,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 104004,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 104221,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 104401,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 104534,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
normal_상품 가입 및 해지_[수정]20210202 104700,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,상품 가입 및 해지,original
