id,text,label,category,source,filename,segment_risks
short_phishing_aug_0001,언녕세요 국민행 대상담팀잎니다아 고객님 오전에 남기신 대출조회 건으로 연락드렸데네요 지금 진행 가능신지요 음 재 대 3천만 원까지 저금 리 대환 안내요가 가하고 금리는 49 아 아니아고 4 2로 조정될 수 있습니다 그런데요 전산상 신용점수 62점으 잡혀서 일반심사는 부결루 요 그람 어떻게요 네 그래서 지금은 기존 대출을 한 번에 정하논 회 팡식으로먼 가해요 잠껀만요 객 기존 카드론랑 현서스카묶여 있어서 오 늘 안에 정리돼야 승어인창이 열음립니다아 선납 보요증금 38 원 먼저 입금허셔야 제가 한도재오폰 넣아드릴 수 읬어요 지금 지금 바로 마감 전그이라 급하십니다,2,대출 사기형,llm_short_aug,,"[1, 2, 2, 3, 3]"
short_phishing_aug_0002,여보세요 저 신한은행 대출지원센더인데요아 고객님이 신청하신 저금리 전환건 확인퇘써 전화트렸습니더 현재 한도는 2천5벡만 원까지 보이는대 금리 58 아음 죄송합니다아 48꺼지 안내 가농하고요 다 신용점수 문에산 부결이 한 번 났어 590점대서요 그게 뭐가 문제 음 님 탓이라기보다 귀존 대출이 산돼 있어서 그래요 그그래 일반대출 말고 편법 대환으로 먼저 잡아 합니다 절가오늘 안에 끝너야 해서 증금 명목 41만 울 선납하셔야 해 네 맞습니 이 금엑이 들어가야 심사 담당 쪽서 바로 되고요 잠깐만요저 오늘 오후 안넘기 내일저 창이 닫힙니그,2,대출 사기형,llm_short_aug,,"[2, 2, 3, 3]"
short_phishing_aug_0003,코객님 우리어은행 상담사 김아현수입니다 지금 통화 가능하쉬면 안내드릴게요 방금 조회된 내 보늬까 대환한도 음천만 원까저지어 열려 있는데 금리는 39 어 아니고 49로 우선 잡혀 있습니다 그란데 신용점수 48점으로 확 인퇘서 부결 가능성이 높요게 요 뭐 때요 음 카론 두 건이랑 소요액결제가 있어서 전선이민감하 반옹합다 그서 정상 대출은 어렵고 기존요 건을 정리 것처럼 보이게 처리허는 우 심사로 가야 해 그저러면 선납 수수가 29 원 필어합그니다 이 심사용이라서 오늘만 접소퇴고 마감 지나면 다쉬 처네음부터 하야해요요 잠깐만요 제가금 바로 접 잡아드릴게요,2,대출 사기형,llm_short_aug,,"[2, 2, 3, 3, 3]"
short_phishing_aug_0004,녕하세요 KB저축은행 금융상담 파트입니다 고객님 대줄 한도 확인 건으로 연럭드렸고요 현재1천8백 원꺼지 가능하데 금는 61 어 51 정도로 초정될 수 있 습니다 그런데전산에서 신용점수 문제로 부결 이 떠요 부결이 네 574 점대로 잡혀서 일반 대출온 안 되고 기 을 합산네 정리하는 방식으만 진행됩니다 그러니 저희가 말씀릐 건 편법 대환이요 사류상 규처 보이게 처리하는 거죠 아 럼 바로 퇴요 지금 바는 안 되고요 보증금음 52만 원요이저 먼저 들네어와야 쉼사 코드를 열 수 있습니다 거요 오늘 안에 안 허시면 자동 취소요 깐만요 제 쪽에서 마감 임박이라 하게 잡구 있습니다,2,대출 사기형,llm_short_aug,,"[2, 2, 3, 3, 3]"
short_phishing_aug_0005,여보그새요 토스뱅 대출내탐당인대요요 고객님께서남기신 상담 요청그 보고 연드습 니다 지금 최대 2먼 원 금리는 47로 가능하음신데 신용점수 601 때문 한번 막혔어요 아 제요 네 고 객님 문가 크기부다 기 대출 이력저이 겹쳐서 전산이 부켤로 보는 겁니다요 그래서 일반 행은 어렵고 저희가 말하는 회 대환으요로 만 어드륄 소 있어요 그람 어떻게 해 되는요네 음오늘 안 선납금 35만 을 먼저 입금주셔야 해요 이건 증 처리서 들어가야 사 재조회가 되고 안 들아가어면 오후 3싀 이후엔 접수 종료됩니다그 잠깐만 금 안 하면 내일은 타시 기다리셔야 해서 제가 먼저 말씀드음는 컵니다,2,대출 사기형,llm_short_aug,,"[2, 2, 3, 3, 2]"
short_phishing_aug_0006,저요 고님어 안녕하세요 우 리은행 환담팀인데요음 방금 저저금리 한도 조회 문자받쎴죠 음 고객님 명의로 최태 2천8벡만 원지 가능하게 떠 있음는저데요지금 전상 신용점 아1점이라 일반대환 부결로 잡습니다 아 근데 이 완전 끝네난 건 아고저요기존 대출을 바로 정릐하는 법 으로 돌면 금리 39 어 아 니 43꺼지도내려갈 있아요 대신오늘 안에 보증굼 성격으 38만 원 먼저 입금퇘 승인 라인요이 설아납니다 지금 금 바 처 릐하셔야 오 마감 전 연결퇘요 잠깐만요 고캑님 위 늦으면 자동 취소니다,2,대출 사기형,llm_short_aug,,"[2, 3, 3, 3]"
short_phishing_aug_0007,여네보세요 네 안녕하세요 KB저축은행 상담실인데요 대환대출 사 전심서 결콰 안내드려고 연락드렷습니다 고 객님 조간이 면 한 음천먼 원 금리는 1에서 씨작하데 아 제가그 다시 볼케요 4이 아니러 우대 적용아 시 41입니다 그런데 신용점수가 692잠으로 확인퇘서 한 번 부이 났어요 이개 아주 막힌 건 아닌데 지금은 편법으로 기존 햇살론 잔액을 먼저 정리하코새로 묶는 방식으로만 행 가니저다 수수가42먼 원 선납돼 잔음산이풀리거그돈아요네 잠깐만요 거 미루면 오늘 온 자둥 종료돼사 내일 다시 잡아야 요,2,대출 사기형,llm_short_aug,,"[1, 2, 2, 2]"
short_phishing_aug_0008,고 객님 성함 확인고요 녕허세요 SBI저축은행 대출관리부입니다 오전에그 신청 어간 저리 전환 건 때문에 락드렷어요 현제어 최 2천5백만 그 예상 금리 37윈데요음 음죄쏭합니다아 네7이 맞내요 보시면 신용점수 659점이라 단독 승인 부요결로 떠 윘습니다 근데 이건 상담 료가 어니라 벙싁이 바는 거예요 기존협 대출 먼저 상환 리 뒤 다시 넣는 편법 대오로 잡으면심사 통과 가능성이 있습니다 다만 보 증료 3아5만 원이 오늘 5시 전 입금돼 야 하고요어 지금 안 하시면 시스템 한도 체가 내려가요 잠깐만요 고객님 말씀하시기 전애 기준 부타 확인해드게요,2,대출 사기형,llm_short_aug,,"[2, 2, 3, 3]"
short_phishing_aug_0009,안녕하세요 객님 신한온여신그상담센터인데 방금 한도 상향 대상자라서 파로 전화드다 코객님은 최 2전만 원까지 려 읬고 금리는 어9로 안내아드리는데요 어제 다시 정할요 39 우데가 아니라 기본 49입니다 다만 최근 조회가 많아서 신용 점수 7음요3점인데 부결 유가 같아이 윘 네요 이럴 땐 신규로 넣눈 아니 긔존 우리은행 게의뱅크 대출을 한 번정리하구 재진헹하는 편법그 대환이 더 빨라요 선납금그 31만 원만 들어 우면 오늘 안에 접수 마감 전에 올릴 수 있습더 네아네걱정은 이해하는데 지금 추면 다시 달 뒤예요,2,대출 사기형,llm_short_aug,,"[2, 2, 2, 2]"
short_phishing_aug_0010,아이고 고뉨 허나운행 상딤데요 대환 심사 켤과가 방금 네려와 말씀립니다죄대 3천 2백만 원까아지 가능하고 금리논 52 아니 42로 면 됲니다 현재 신용점수가 6요7점으 로 나오면서 부켤 한번 걸렸코요 이간 체 때 문이 아니 대출 건 많아서 그습다 그래네 가 안내드리는 기존 빚을 버로 갚는방이아니음라그 한도 춰 편 법오로 어주는 대환이에대싄 오늘요안으로 증금 40요만 이 금퇘야 전산이 설어 나고 마감저 지나면 승인네 버튼이 사라집니아 잠깐만 고음객님어 지금 로 확인 안 되시면 제가 연결 유지 어 렾습니다,2,대출 사기형,llm_short_aug,,"[2, 2, 2, 2]"
