id,script,label,track
normal_A_0001,"안녕하세요, 상담센터입니다. 지금 대출 승인 결과 안내드리려고 연락드렸는데요, 고객님 본인 맞으실까요? 아 네, 맞습니다. 네, 확인됐습니다. 먼저 이번 대출은 심사 통과로 승인 완료되셨고요, 자금은 영업일 기준으로 안내해 드린 계좌로 지급 예정입니다. 아, 다행이네요. 네, 그리고 상환 방식은 원리금 균등으로 진행하시면 매달 같은 금액으로 납부하셔서 관리가 편합니다. 음, 이율은 어느 정도예요? 고객님 조건 기준으로 연 이율은 안내드린 범위 안에서 적용되고, 중도상환수수료는 기간에 따라 달라질 수 있습니다. 아 그렇군요. 네, 상환일은 매달 지정일에 자동이체로 처리하실 수 있고, 원하시면 수동 납부도 가능합니다. 음, 그럼 자동이체로 해 주세요. 네, 가능합니다. 혹시 자금 운용 계획이 바뀌시면 상환 일정 조정 상담도 받아보실 수 있습니다. 아, 네네. 마지막으로 승인 내용과 상환 안내문은 문자로도 보내드릴게요. 감사합니다. 네, 확인 부탁드립니다.",0,A
normal_A_0002,"여보세요, 상담센터입니다. 고객님, 대출 관련해서 승인 결과와 상환 안내드리려고 연락드렸어요. 아 네, 기다리고 있었습니다. 네, 먼저 신청하신 대출은 최종 승인되셨고, 자금 집행은 오늘 오후 순차적으로 진행됩니다. 진짜요? 네, 맞습니다. 상환은 매월 일정 금액씩 갚아나가는 방식으로 설정하실 수 있고, 이율은 심사 결과에 따라 확정된 상태입니다. 어, 그럼 매달 얼마나 나가요? 네, 지금 기준으로는 예상 상환금이 안내돼 있고, 만기 일시상환보다는 분할 상환이 부담이 적을 수 있습니다. 아, 그렇겠네요. 그리고 혹시 조기 상환을 원하실 경우에는 일부 수수료가 발생할 수 있으니 미리 확인해 주시면 좋습니다. 음, 알겠습니다. 네, 자금 수령 후 첫 상환일은 다음 달 같은 날짜로 잡혀 있습니다. 상환 방법은 자동이체, 창구 납부, 모바일 납부 중에서 선택 가능하세요. 오, 선택이 많네요. 네, 고객님 편하신 방식으로 진행하시면 됩니다. 안내받은 내용 문자로도 발송해 드리겠습니다.",0,A
normal_A_0003,"안녕하세요, 은행 전산팀입니다. 지금 납부 처리 관련해서 안내드릴 부분이 있어서 연락드렸습니다. 아 네, 무슨 일인가요? 현재 전산 점검 과정에서 일부 접수 건의 납부 처리가 조금 지연되고 있습니다. 아, 그래요? 네, 고객님께서 등록하신 금액 자체는 정상 확인됐고요, 처리 순서만 늦어지고 있는 상황입니다. 음, 그럼 제가 다시 납부해야 하나요? 아니요, 다시 하실 필요는 없습니다. 이미 접수된 건으로 확인되기 때문에 중복 납부는 안 하셔도 됩니다. 아 다행이다. 네, 전산 복구가 완료되는 대로 순차 반영될 예정이고, 예상보다 늦어질 경우 문자로 다시 안내드리겠습니다. 금액은 그대로 유지되는 거죠? 네, 맞습니다. 납부 금액 변경 없이 그대로 처리됩니다. 혹시 영수증이나 접수번호가 필요하시면 안내드릴 수 있습니다. 어, 있으면 좋겠네요. 네, 그럼 접수번호 확인해서 문자로 보내드리겠습니다. 불편 끼쳐 드려 죄송합니다. 괜찮습니다, 이런 일도 있죠.",0,A
normal_A_0004,"여보세요, 은행입니다. 고객님 납부 건 전산 확인차 연락드렸습니다. 아, 네. 지금 시스템상 전산 반영이 늦어져서 접수된 납부 건이 아직 완료 표시로 넘어가지 않았습니다. 음, 제가 뭘 잘못한 건 아니죠? 아니요, 고객님 문제는 아니고요. 처리 중간 단계에서 지연이 생긴 겁니다. 아 그렇군요. 금액은 정상 접수됐고, 납부 내역도 보관돼 있습니다. 오, 그럼 기다리면 되는 건가요? 네, 맞습니다. 별도 재납부 없이 전산 정상화 후 자동 반영됩니다. 혹시 급하시면 접수 내역 확인서 발급도 가능합니다. 아, 그럼 발급 부탁드려도 될까요? 네, 가능합니다. 다만 오늘은 전산 점검 시간이라 조금 늦어질 수 있습니다. 음, 괜찮아요. 납부 예정 금액에는 변동 없으니 안심하셔도 됩니다. 네, 고맙습니다. 네, 불편 없도록 끝까지 확인해 드리겠습니다.",0,A
normal_A_0005,"안녕하십니까, 비대면 계좌 개설 상담센터입니다. 아, 네. 계좌 개설 절차 도와드리려고 연락드렸습니다. 고객님 본인 확인을 위해 먼저 명의 확인이 필요합니다. 음, 네. 지금 신청하신 계좌는 본인 명의로 개설하시는 게 맞으실까요? 네, 맞습니다. 감사합니다. 개설 과정에서는 이름, 생년월일, 휴대폰 번호 같은 개인 정보 확인이 필요하고요, 추가로 주소나 직업 정보가 요청될 수 있습니다. 아, 그런가요? 네, 이는 금융거래 확인을 위한 기본 절차입니다. 아, 알겠습니다. 혹시 신분증 사진도 필요한가요? 네, 맞습니다. 신분증을 촬영해서 올려주시면 사진과 입력 정보가 일치하는지 확인합니다. 음, 개인 정보가 많이 들어가네요. 네, 고객님 보호를 위해 암호화된 방식으로 처리됩니다. 개설이 완료되면 계좌번호가 바로 생성되고, 문자로 안내드리겠습니다. 아 네, 빨리 만들고 싶었어요. 네, 절차만 끝나면 바로 사용 가능하십니다.",0,A
normal_A_0006,"안녕하세요, 비대면 개설 상담입니다. 지금 계좌 개설 관련해서 본인 확인 진행 중입니다. 아, 네네. 먼저 명의자분 성함과 생년월일 확인 부탁드립니다. 음, 홍길동이고요, 생년월일은 이천년 삼월 삼일입니다. 확인됐습니다. 개설 신청은 본인 명의로 접수된 게 맞고요, 몇 가지 개인 정보 확인 후 진행됩니다. 아, 네. 주소랑 연락처도 맞춰야 하나요? 네, 맞습니다. 입력된 정보와 실제 정보가 일치해야 계좌 개설이 완료됩니다. 아 그래요? 네, 그리고 금융사기 예방을 위해 타인 명의 사용 여부도 확인하고 있습니다. 아, 저는 제 명의로만 해요. 감사합니다. 그러면 개설 승인 단계로 넘기겠습니다. 신분증 진위 확인까지 끝나면 계좌 사용이 가능해집니다. 음, 생각보다 꼼꼼하네요. 네, 고객님 안전을 위한 절차입니다. 개설 완료 후에는 안내 문자와 이용 방법을 보내드릴게요. 아, 네. 고맙습니다.",0,A
normal_A_0007,"안녕하세요, 카드 상담센터입니다. 고객님 카드 한도 조회와 해외 거래 가능 여부 확인 도와드리겠습니다. 아 네, 카드 한도 좀 보고 싶어서요. 네, 우선 본인 확인 후 이용 가능 한도를 조회해 보겠습니다. 아, 네. 확인됐습니다. 현재 카드 기본 한도는 정상 적용되어 있고, 해외 거래도 설정에 따라 가능 여부가 달라집니다. 음, 해외에서도 쓸 수 있는지 궁금했어요. 네, 해외 이용 등록이 되어 있으면 해외 거래가 가능하고, 비등록 상태라면 별도 신청이 필요합니다. 아 그렇군요. 그럼 한도는 더 올릴 수 있나요? 심사를 통해 조정 가능할 수는 있는데, 최근 이용 내역과 결제 상태를 같이 봐야 합니다. 아, 네. 저는 요즘 잘 쓰고 있어요. 네, 좋습니다. 해외 거래 시에는 일부 가맹점에서 승인 방식이 달라질 수 있어서, 출국 전에 미리 등록해 두시면 편하십니다. 아, 맞아맞아, 그거 귀찮을 수 있겠네요. 네, 그리고 카드 이용 알림 서비스도 같이 설정하시면 실시간 확인이 가능합니다. 좋네요. 문자로 안내해 주실 수 있죠? 네, 바로 보내드리겠습니다.",0,A
normal_A_0008,"여보세요, 카드사입니다. 카드 이용 한도와 해외 거래 가능 여부 문의 주셨죠? 아, 네 맞아요. 지금 고객님 카드의 이용 한도는 조회 가능하고, 기본 거래 기능도 정상입니다. 진짜요? 네. 다만 해외 거래 가능 여부는 해외 사용 등록 상태를 확인해야 정확합니다. 음, 그럼 등록 안 돼 있으면 아예 못 쓰는 건가요? 기본적으로는 해외 승인 자체가 막혀 있을 수 있습니다. 등록하시면 가능해집니다. 아 그렇군요. 이용 한도는 국내랑 해외가 따로인가요? 네, 경우에 따라 다를 수 있고, 해외 거래는 별도 한도로 관리되기도 합니다. 아, 복잡하네요. 네, 제가 쉽게 말씀드리면, 카드가 정상 이용 중이어도 해외에서는 사전 설정이 있어야 거래가 가능하다고 보시면 됩니다. 아, 네 이해됐어요. 혹시 한도 높이는 건 바로 되나요? 즉시 반영은 어렵고, 심사 후 변경될 수 있습니다. 아 알겠습니다. 그럼 해외 사용 등록 먼저 해 주세요. 네, 바로 처리 도와드리겠습니다. 완료되면 문자로 안내드릴게요.",0,A
normal_A_0009,"안녕하세요, 대출 상담센터입니다. 접수하신 대출 입금 요청 건 때문에 연락드렸습니다. 아, 네. 제가 요청한 거 맞아요. 네, 확인해 보니 입금 요청은 접수되어 있는데, 본인 확인 통화 절차가 한 번 더 필요합니다. 아, 그래요? 네, 고객님 보호를 위한 절차입니다. 대출 입금은 금액이 바로 반영되는 항목이라서, 명의자 본인과 직접 통화 확인 후 진행해야 합니다. 음, 그럼 지금 제가 본인인데요. 네, 그렇다면 몇 가지 본인 확인 질문 드리겠습니다. 성함과 생년월일, 그리고 신청하신 대출 번호 일부를 확인해 주시겠습니까? 아 네, 말씀드릴게요. 확인되면 입금 요청 처리 순서가 바로 이어집니다. 통화가 끝나면 입금 가능 여부와 예상 시간도 안내드릴 수 있습니다. 아, 그럼 빨리 처리되겠네요? 네, 맞습니다. 통화 확인이 완료되어야 입금 요청이 정상 승인됩니다. 네, 알겠습니다. 바로 도와드리겠습니다.",0,A
normal_A_0010,"여보세요, 상담센터입니다. 고객님 대출 입금 요청이 들어와서 본인 확인 통화 드렸습니다. 아, 네네. 지금 요청 건은 접수 완료됐고, 입금 처리 전 명의자 확인이 필요합니다. 음, 제가 본인 맞습니다. 감사합니다. 혹시 문자로 받은 인증번호가 있으시면 말씀해 주시겠습니까? 아, 네. 잠깐만요, 어, 찾았다. 삼오칠이요. 확인됐습니다. 그러면 대출 입금 요청은 정상 접수 상태로 유지되고, 최종 입금은 검토 후 진행됩니다. 아, 바로 안 들어오는 건가요? 네, 서류와 통화 절차가 함께 끝나야 해서 조금 시간이 걸릴 수 있습니다. 아 그렇구나. 네, 고객님 본인 확인이 끝났으니 입금 가능 여부를 확인해 드리겠습니다. 추가로 필요한 사항이 있으면 다시 연락드리겠습니다. 음, 네 알겠습니다. 안내 문자도 보내드릴게요. 네, 감사합니다.",0,A
